feature_index,itemid,missing_count,missing_pct
0,50912,980,0.0302478471557764
1,50971,991,0.0305873638075249
2,50983,971,0.0299700608043458
3,50902,984,0.0303713077564122
4,50931,1097,0.0338590697243742
5,50893,3146,0.097101762400074
6,50960,1861,0.0574400444458162
7,50811,25195,0.7776474582548845
8,51265,1143,0.0352788666316861
9,51300,32338,0.9981172258403036
10,50813,13478,0.4160004938424025
11,50861,16715,0.5159109849069415
12,50878,16528,0.5101392018272168
13,51006,993,0.0306490941078428
14,50882,985,0.0304021729065711
15,220045,1,3.0865150158955525e-05
16,220050,20121,0.6210376863483441
17,220051,20120,0.6210068211981852
18,220052,20089,0.6200500015432575
19,223761,2017,0.0622550078706132
20,220277,31,0.0009568196549276
21,220210,115,0.0035494922682798
