model,threshold,accuracy,f1_macro,auroc,auprc,mcc,auroc_ci_lo,auroc_ci_hi,fit_seconds,base_models,nodes_used,episodes
Stacked Classical,0.445,0.6972222222222222,0.6768237206614252,0.7551173513007368,0.8257071887149022,0.35365257065183203,0.7427829580480724,0.7663363809117224,13.913,Logistic Regression; Random Forest; XGBoost; LightGBM; CatBoost,,
CatBoost,0.445,0.7,0.6730636270204615,0.7533958596262671,0.8239020774494936,0.3478989849622557,0.7409975339845823,0.7643004473865184,3.88,,,
XGBoost,0.595,0.6953703703703704,0.6750617283950617,0.7525717542645441,0.8249162688874602,0.3501376499840063,0.7403502456545485,0.7636334023780849,2.418,,,
LightGBM,0.49,0.6899691358024691,0.6735084501876252,0.7511192647477914,0.8232176377611284,0.34820588835360955,0.7389433709090473,0.7620482253678452,5.911,,,
Token Hybrid RF,0.5449999999999999,0.6950617283950618,0.6713665342326527,0.7498080446199569,0.8214150500665613,0.3430914682694416,0.7375180639315103,0.7619571127129785,5.08,,,
Random Forest,0.565,0.6854938271604938,0.6665635185206132,0.7476317021536456,0.8193407348192034,0.3334466584124533,0.7349002023812243,0.7595097544690836,5.999,,,
Neural Baseline,0.645,0.6564814814814814,0.6510288065843621,0.7347299291617473,0.8088995006449844,0.3243037257821148,0.7217706589802806,0.7470020149188814,3.163,,,
Federated LR Node Ensemble,0.5,0.6782407407407407,0.6556715677425822,0.7093091234784026,0.7779879990654461,0.31135560212749347,0.696058449529299,0.7216420875940579,1.689,,5.0,
Logistic Regression,0.495,0.6797839506172839,0.6556649404244776,0.7091535032365752,0.7781169823206622,0.3115255660865083,0.696071849237739,0.7216330969563227,1.747,,,
Few-Shot ETHOS,0.5,0.5875,0.5687550309410891,0.5901976550095672,0.6682245697448042,0.13990692497417062,0.5755151969352278,0.6044802680177069,11.424,,,40.0
